longitude_rsf,latitude_rsf,loc_zone
-145.62202272727274,70.68677272727274,5
-141.68208450704222,70.55774647887323,7
-146.17095744680844,71.34174468085106,5
-152.87913684210523,71.67707368421048,9
-154.4937096774193,72.59419354838711,9
-156.7538513513514,72.02117567567565,3
-150.81869672131148,71.38466393442626,1
-157.25937878787877,71.10659848484846,3
-164.09456999999995,69.88646000000001,6
-158.69928925619837,71.65220661157028,3
-156.35878431372547,70.8718137254902,3
-155.1104130434783,71.2095579710145,9
-149.5069623931624,70.77230427350425,1
-146.42562880886436,70.64898337950147,5
-148.22573076923078,71.46851098901104,5
-149.1337073170732,72.1158699186992,1
-148.56881347150255,73.26775129533678,1
-146.98286772486767,72.1591693121693,5
-151.71456321839085,71.75953448275861,1
-149.46226595744673,71.1299095744681,1
-143.86365555555554,71.22127777777776,0
-143.55721052631577,71.08047368421053,0
-141.69859322033903,70.98928813559324,7
-143.67689507494643,70.84079871520342,0
-146.46445818815326,70.96580313588849,5
-147.07611224489793,71.25651530612245,5
-152.45808181818174,72.00829545454545,9
-154.7674672897197,73.06602803738316,9
-149.62686577181213,73.0878590604027,1
-152.67711790393005,73.09160262008733,9
-157.0697925531915,71.0914361702128,3
-163.7600285714285,68.58530000000002,6
-152.78373949579824,71.31610924369745,9
-151.54459302325577,71.0035,1
-153.21684848484847,72.29802424242432,9
-147.52456300812986,71.06268902439027,5
-149.0791957364341,71.30107170542638,1
-147.3357374999999,71.87153000000004,5
-144.22693478260862,72.05932919254666,0
-144.08234693877552,72.02791836734694,0
-145.17548587570622,71.91575141242936,0
-144.71023126338318,70.71295074946472,0
-148.7872718120805,70.94197315436236,1
-150.7607542372882,70.0277429378531,1
-152.24335582822093,71.2326973415133,9
-148.44166430260043,71.14551773049655,5
-146.911866396761,71.27300202429146,5
-150.58854784689004,71.65672248803831,1
-149.49630061349694,71.5354187116564,1
-151.69502930402936,71.7737820512821,1
-154.17443855421695,72.40777349397594,9
-150.74803478260873,73.32942608695646,1
-160.11514529914533,73.79012393162391,3
-155.75797007481287,72.38627431421446,3
-151.07946612665685,70.72868262150223,1
-157.6431883614089,70.5400781010719,3
-162.10448257839712,68.78298606271774,6
-164.77526652452016,67.79640511727082,6
-157.01280190930777,69.00340334128882,3
-157.72593243243242,69.96939639639643,3
-156.79180686695275,70.33639914163088,3
-159.22424509803915,71.15324019607843,3
-157.02716571428576,72.28568571428569,3
-159.76171999999997,73.36241599999998,3
-160.51715315315317,73.8442072072072,3
-156.42364210526313,72.68547368421054,3
-151.52482608695652,71.30243478260869,1
-152.98814285714283,71.2615,9
-153.47154545454543,70.77345454545454,9
-166.3841111111111,69.3868888888889,6
-156.61871052631577,69.84465789473683,3
-147.16266565349534,70.79868085106388,5
-147.162161111111,70.67020555555553,5
-146.63786013986015,70.73157342657342,5
-146.93863779527558,71.20856692913387,5
-146.2591428571429,71.05764285714287,5
-147.2722421052631,71.72074736842103,5
-148.8185567010309,71.76913402061852,1
-144.83688,70.66309333333335,0
-142.14853333333343,70.43221333333331,0
-143.72682812500005,70.44964062499999,0
-140.21760975609757,70.67190243902441,7
-143.92869736842104,71.35277631578946,0
-146.1473586497889,70.84392405063289,5
-141.34255030800824,70.93154414784395,7
-137.80658295964116,71.2639170403588,7
-138.11044634146327,71.97676829268295,7
-137.8822488479263,71.9687304147465,7
-144.2998036809816,72.20834355828224,0
-144.55669154228858,71.68433830845773,0
-146.9698363636364,71.13135151515154,5
-144.6285761589404,71.41583443708609,0
-143.04943500000007,71.43717500000001,0
-143.52577976190483,71.0950833333333,0
-144.52508267716547,71.42306299212594,0
-144.16328125,71.19545625000008,0
-142.51501529051984,70.93191743119266,0
-145.53884390243903,71.91105365853663,5
-146.03384274193547,72.69710887096777,5
-140.93822941176475,73.83185294117649,7
-142.51109558823532,74.81400735294119,7
-144.70359296482417,73.49028643216079,8
-142.29914062499998,71.02265625000003,0
-140.2326310679612,70.52274757281552,7
-147.40172527472532,70.80212087912088,5
-135.3892168674699,70.69261445783131,4
-120.30633064516131,71.00637903225805,4
-141.44058181818178,71.63175151515146,7
-148.37479090909096,70.96661818181818,5
-136.52136470588235,71.38775294117647,7
-134.4842463768115,71.32859420289853,4
-146.03964705882356,71.59338235294118,5
-141.14572727272727,71.94445454545455,7
-139.6292307692308,69.96646153846154,7
-142.73780000000002,70.1858,0
-146.33727777777779,70.43872222222221,5
-150.46869339622646,71.06641509433962,1
-159.05196190476195,69.95687619047618,3
-151.39625,71.36425,1
-151.34276923076925,71.21446153846153,1
-153.17263157894735,71.11863157894736,9
-150.72932978723404,70.70625531914895,1
-148.68735227272725,70.92718181818185,1
-150.73922388059702,71.38002985074628,1
-154.01643181818187,73.9109772727273,9
-153.98381159420288,76.13402898550724,9
-151.59122535211267,77.02739436619719,9
-156.47513304721025,76.26827467811164,3
-158.11512903225812,72.06123790322582,3
-155.30629186602874,70.50878468899523,9
-144.58500000000004,70.52933986928106,0
-138.85984374999998,70.4166875,7
-144.1701935483871,71.31080645161292,0
-146.64503448275872,70.91071724137923,5
-145.69411221945148,71.08224937655864,5
-147.0405627705628,71.48166666666667,5
-147.77380769230768,71.63940384615381,5
-149.57075213675213,73.85018803418806,1
-146.92512121212127,75.80438181818182,8
-153.08156435643568,72.94227062706267,9
-147.8885868131868,70.72115384615388,5
-146.74448898678412,70.23574449339206,5
-142.40549999999993,70.49432307692305,0
-145.74359459459453,70.4572972972973,5
-144.05082771535575,70.37114981273402,0
-143.4599444444443,70.60260317460315,0
-143.69773148148144,70.65313425925923,0
-143.1905789473685,70.83482296650715,0
-142.37286419753084,71.05121810699598,0
-142.79182014388482,71.53533093525184,0
-141.03266942148764,72.77839669421488,7
-143.56789303482583,71.20062437810945,0
-149.5540424107143,70.88621205357147,1
-152.37226447876446,70.97271814671814,9
-151.13698921832886,70.71349056603776,1
-148.67908906882593,71.03637246963568,1
-153.08872933549424,70.93784278768224,9
