long,lat,loc_zone
-147.07995572901706,70.51849238382495,8
-148.07960007081851,70.8817166197307,8
-153.36065066254687,71.68984090993953,2
-158.6772703972093,72.88401607516207,5
-153.71052480046643,73.21777015118141,2
-149.91929905450968,73.39160615297855,8
-155.30569047889304,73.7489789169697,5
-139.50860614030577,72.747644426664,1
-161.017566241821,70.318495242907,0
-157.54113115195264,70.61061546115025,5
-156.87976122141964,71.10081311280709,5
-154.9352363922183,71.3164603513495,5
-158.71717882843342,70.97127866084686,5
-165.9423728778571,71.82693376770236,0
-156.04183399333337,71.45619699866667,5
-150.77552874451584,70.43242605832614,2
-149.68815727032327,70.76210605093527,8
-150.93104757098078,71.46548027808541,2
-155.19134301624115,72.68127803142096,5
-151.68006811574585,73.70958489623781,2
-145.077601938215,74.32360044835427,7
-139.72814802164612,73.87086139071914,1
-143.45430594835713,71.5346642624713,7
-143.88161046408288,71.35375748476811,7
-141.501173806349,71.7000761076785,1
-140.50901862695846,72.01414554094474,1
-142.46824371859418,71.92272775933039,7
-147.61526502440742,71.47045820267498,8
-149.94518794014698,71.27390956454121,8
-149.93832258628157,72.17773675224832,8
-150.6716911421698,73.17498572399205,2
-140.5326126983315,75.90360158185791,1
-130.1150162358639,76.79241747755475,4
-131.5120165219373,75.81935225023743,4
-135.8758972790506,74.2743804863364,9
-140.86603506364636,73.15589332739643,1
-141.11943750378796,73.2660678693284,1
-141.3736995486341,72.37671865028915,1
-143.92153831313573,72.6126353418671,7
-152.40863700300685,71.4469593926117,2
-144.97217792784747,70.94771464357059,7
-137.8281801277737,70.7766582131166,9
-145.58651594888363,72.20138097766352,7
-142.66970677851393,72.79471367549688,7
-137.40049309007424,72.1932983628015,9
-148.12080183321837,72.82744002873565,8
-151.25822265179983,71.69020518495999,2
-149.2662596795871,71.28460852426608,8
-155.57739960642678,71.4853624958612,5
-158.4777240351416,71.7914351816509,5
-158.3203677659363,71.52265134635458,5
-153.7562594700386,71.24129332304973,2
-152.91018365918546,71.24040727244825,2
-153.84297247080607,71.5563636005741,2
-156.78503190751482,72.1999796998282,5
-143.60054173684486,73.12749411649207,7
-120.99414325701036,74.0296546988542,3
-155.42864178930148,73.84800230902441,5
-157.37018316700744,72.8630478115015,5
-152.82055692143916,71.63642277884448,2
-151.49604449150178,71.523185783655,2
-155.78660334189934,72.3087229070887,5
-156.57095239640273,72.50494149460377,5
-153.25197430366612,71.25670114892762,2
-150.5956864276831,71.11293708351987,2
-151.74548079612651,71.41532016155969,2
-152.1027377948465,72.26643721073474,2
-162.3274916878152,73.85825639635506,0
-164.50616949894643,74.93012217889833,0
-156.52483204245587,74.22885759980429,5
-148.9131646776979,76.81246055812943,6
-144.07193960509258,76.78287053148145,7
-143.4708846,76.34940435339621,7
-147.24074237717727,75.58227330150157,6
-153.1029359024907,73.5716171261643,2
-152.73128874850963,71.9626019294595,2
-148.8867757576441,71.56720807768545,8
-147.0847008373562,72.16990000487816,8
-144.88400811226293,73.45800296810512,7
-126.32290197537229,74.15295345703811,4
-121.80431892381465,74.81691425422312,3
-122.65449408271,75.23987764664668,3
-126.33397182339588,74.06303232377934,4
-124.32813130678566,74.36057610164289,3
