iso_code,year,co2,methane,nitrous_oxide,population
AFG,1949,0.015,,,7663783
AFG,1950,0.084,,,7752000
AFG,1951,0.092,,,7840000
AFG,1952,0.092,,,7936000
AFG,1953,0.106,,,8040000
AFG,1954,0.106,,,8151000
AFG,1955,0.154,,,8271000
AFG,1956,0.183,,,8399000
AFG,1957,0.293,,,8535000
AFG,1958,0.33,,,8680000
AFG,1959,0.385,,,8834000
AFG,1960,0.414,,,8997000
AFG,1961,0.491,,,9169000
AFG,1962,0.689,,,9351000
AFG,1963,0.707,,,9543000
AFG,1964,0.839,,,9745000
AFG,1965,1.007,,,9956000
AFG,1966,1.091,,,10175000
AFG,1967,1.282,,,10400000
AFG,1968,1.223,,,10637000
AFG,1969,0.941,,,10894000
AFG,1970,1.67,,,11174000
AFG,1971,1.894,,,11475000
AFG,1972,1.531,,,11791000
AFG,1973,1.637,,,12109000
AFG,1974,1.916,,,12413000
AFG,1975,2.125,,,12689000
AFG,1976,1.984,,,12943000
AFG,1977,2.387,,,13171000
AFG,1978,2.155,,,13341000
AFG,1979,2.235,,,13411000
AFG,1980,1.757,,,13357000
AFG,1981,1.979,,,13172000
AFG,1982,2.096,,,12883000
AFG,1983,2.52,,,12538000
AFG,1984,2.822,,,12204000
AFG,1985,3.502,,,11938000
AFG,1986,3.134,,,11736000
AFG,1987,3.114,,,11605000
AFG,1988,2.857,,,11618000
AFG,1989,2.765,,,11869000
AFG,1990,2.602,8.97,3.25,12412000
AFG,1991,2.426,9.07,3.3,13299000
AFG,1992,1.382,9,3.21,14486000
AFG,1993,1.334,8.9,3.21,15817000
AFG,1994,1.282,8.97,2.99,17076000
AFG,1995,1.231,9.15,3.07,18111000
AFG,1996,1.165,9.93,3.29,18853000
AFG,1997,1.084,10.6,3.59,19357000
AFG,1998,1.029,11.1,3.88,19738000
AFG,1999,0.81,11.87,4.15,20171000
AFG,2000,0.768,10.59,3.62,20780000
AFG,2001,0.812,9.36,3.22,21607000
AFG,2002,1.064,11.21,3.72,22601000
AFG,2003,1.205,11.56,3.92,23681000
AFG,2004,0.908,11.47,3.82,24727000
AFG,2005,1.32,11.68,3.97,25654000
AFG,2006,1.643,14.89,4.06,26433000
AFG,2007,2.268,18.1,4.25,27101000
AFG,2008,4.198,22.19,4.81,27722000
AFG,2009,6.76,25.43,5.32,28395000
AFG,2010,8.452,30.04,6.03,29186000
AFG,2011,12.226,39.48,6.61,30117000
AFG,2012,10.742,48.78,7.16,31161000
AFG,2013,9.037,58.13,7.72,32270000
AFG,2014,8.45,67.77,8.55,33371000
AFG,2015,9.02,76.62,8.59,34414000
AFG,2016,8.653,78.17,9.13,35383000
AFG,2017,8.971,,,36296000
AFG,2018,9.439,,,37172000
,1751,0,,,
,1752,0,,,
,1753,0,,,
,1754,0,,,
,1755,0,,,
,1756,0,,,
,1757,0,,,
,1758,0,,,
,1759,0,,,
,1760,0,,,83152512
,1761,0,,,
,1762,0,,,
,1763,0,,,
,1764,0,,,
,1765,0,,,
,1766,0,,,
,1767,0,,,
,1768,0,,,
,1769,0,,,
,1770,0,,,83681184
,1771,0,,,
,1772,0,,,
,1773,0,,,
,1774,0,,,
,1775,0,,,
,1776,0,,,
,1777,0,,,
,1778,0,,,
,1779,0,,,
,1780,0,,,84262792
,1781,0,,,
,1782,0,,,
,1783,0,,,
,1784,0,,,
,1785,0,,,
,1786,0,,,
,1787,0,,,
,1788,0,,,
,1789,0,,,
,1790,0,,,84900352
,1791,0,,,
,1792,0,,,
,1793,0,,,
,1794,0,,,
,1795,0,,,
,1796,0,,,
,1797,0,,,
,1798,0,,,
,1799,0,,,
,1800,0,,,85589224
,1801,0,,,
,1802,0,,,
,1803,0,,,
,1804,0,,,
,1805,0,,,
,1806,0,,,
,1807,0,,,
,1808,0,,,
,1809,0,,,
,1810,0,,,86829040
,1811,0,,,
,1812,0,,,
,1813,0,,,
,1814,0,,,
,1815,0,,,
,1816,0,,,
,1817,0,,,
,1818,0,,,
,1819,0,,,
,1820,0,,,89179576
,1821,0,,,
,1822,0,,,
,1823,0,,,
,1824,0,,,
,1825,0,,,
,1826,0,,,
,1827,0,,,
,1828,0,,,
,1829,0,,,
,1830,0,,,93551648
,1831,0,,,
,1832,0,,,
,1833,0,,,
,1834,0,,,
,1835,0,,,
,1836,0,,,
,1837,0,,,
,1838,0,,,
,1839,0,,,
,1840,0,,,98188272
,1841,0,,,
,1842,0,,,
,1843,0,,,
,1844,0,,,
,1845,0,,,
,1846,0,,,
,1847,0,,,
,1848,0,,,
,1849,0,,,
,1850,0,,,102932088
,1851,0,,,
,1852,0,,,
,1853,0,,,
,1854,0,,,
,1855,0,,,
,1856,0,,,
,1857,0,,,
,1858,0,,,
,1859,0,,,
,1860,0,,,107457472
,1861,0,,,
,1862,0,,,
,1863,0,,,
,1864,0,,,
,1865,0,,,
,1866,0,,,
,1867,0,,,
,1868,0,,,
,1869,0,,,
,1870,0,,,114300952
,1871,0,,,
,1872,0,,,
,1873,0,,,
,1874,0,,,
,1875,0,,,
,1876,0,,,
,1877,0,,,
,1878,0,,,
,1879,0,,,
,1880,0,,,122176248
,1881,0,,,
,1882,0,,,
,1883,0,,,
,1884,0.022,,,
,1885,0.037,,,
,1886,0.048,,,
,1887,0.048,,,
,1888,0.081,,,
,1889,0.132,,,
,1890,0.297,,,131305600
,1891,0.297,,,
,1892,0.48,,,
,1893,1.799,,,
,1894,2.433,,,
,1895,3.338,,,
,1896,4.258,,,
,1897,4.778,,,
,1898,6.049,,,
,1899,5.518,,,
,1900,2.33,,,140754896
,1901,3.909,,,
,1902,5.826,,,
,1903,7.896,,,
,1904,8.911,,,
,1905,10.263,,,
,1906,11.717,,,
,1907,12.93,,,
,1908,13.403,,,
,1909,15.385,,,
,1910,17.411,,,150280992
,1911,16.865,,,
,1912,17.954,,,
,1913,19.606,,,
,1914,19.551,,,
,1915,19.606,,,
,1916,23.255,,,
,1917,25.344,,,
,1918,24.725,,,
,1919,25.443,,,
,1920,28.052,,,164856080
,1921,27.986,,,
,1922,23.97,,,
,1923,29.045,,,
,1924,30.631,,,
,1925,32.185,,,
,1926,34.438,,,
,1927,33.841,,,
,1928,34.771,,,
,1929,35.805,,,
,1930,33.698,,,181280496
,1931,29.466,,,
,1932,26.626,,,
,1933,28.495,,,
,1934,32.544,,,
,1935,35.915,,,
,1936,39.022,,,
,1937,41.85,,,
,1938,44.019,,,
,1939,46.859,,,
,1940,49.655,,,200894592
,1941,54.029,,,
,1942,58.829,,,
,1943,60.126,,,
,1944,66.641,,,
,1945,67.535,,,
,1946,68.169,,,
,1947,67.945,,,
,1948,71.745,,,
,1949,77.336,,,
,1950,87.251,,,227794000
,1951,93.124,,,232328000
,1952,101.255,,,237096992
,1953,102.544,,,242092000
,1954,107.128,,,247311008
,1955,117.486,,,252748992
,1956,121.931,,,258408000
,1957,127.951,,,264292000
,1958,137.466,,,270407008
,1959,147.944,,,276760992
,1960,156.673,,,283360992
,1961,162.111,,,290214016
,1962,166.467,,,297323008
,1963,176.481,,,304683008
,1964,193.793,,,312292000
,1965,213.817,,,320147008
,1966,221.291,,,328256992
,1967,237.29,,,336631008
,1968,257.535,,,345280000
,1969,278.161,,,354215008
,1970,302.943,,,363448000
,1971,332.211,,,372984000
,1972,352.253,,,382838016
,1973,378.442,,,393044000
,1974,388.897,,,403646016
,1975,387.869,,,414675008
,1976,420.91,,,426144000
,1977,433.768,,,438055008
,1978,463.346,,,450404000
,1979,500.092,,,463184000
,1980,536.634,,,476385984
,1981,549.528,,,490004000
,1982,572.76,,,504033984
,1983,595.613,,,518480000
,1984,650.46,,,533344992
,1985,666.875,,,548625984
,1986,690.904,,,564326976
,1987,691.013,,,580424000
,1988,726.285,,,596849024
,1989,699.477,,,613512000
,1990,658.146,,,630350016
,1991,687.395,,,647344000
,1992,669.867,,,664512000
,1993,710.343,,,681868992
,1994,721.157,,,699444992
,1995,773.232,,,717270016
,1996,783.901,,,735361024
,1997,813.942,,,753737984
,1998,838.13,,,772436992
,1999,830.384,,,791504000
,2000,891.37,,,810984000
,2001,885.188,,,830902976
,2002,890.496,,,851297984
,2003,966.578,,,872248000
,2004,1033.39,,,893843008
,2005,1051.692,,,916153984
,2006,1091.649,,,939209984
,2007,1134.625,,,963022016
,2008,1185.106,,,987624000
,2009,1196.466,,,1013046016
,2010,1220.494,,,1039304000
,2011,1250.925,,,1066409984
,2012,1260.972,,,1094343040
,2013,1277.276,,,1123044992
,2014,1365.298,,,1152434048
,2015,1330.237,,,1182439040
,2016,1354.961,,,1213041024
,2017,1370.14,,,1244221952
,2018,1400.841,,,1275921024
ALB,1933,0.007,,,1032197
ALB,1934,0.007,,,1037713
ALB,1935,0.018,,,1043229
ALB,1936,0.128,,,1052538
ALB,1937,0.297,,,1063225
ALB,1938,0.348,,,1082532
ALB,1939,0.432,,,1102527
ALB,1940,0.692,,,1123213
ALB,1941,0.627,,,1139416
ALB,1942,0.744,,,1150104
ALB,1943,0.462,,,1157688
ALB,1944,0.154,,,1164928
ALB,1945,0.121,,,1176994
ALB,1946,0.484,,,1195267
ALB,1947,0.927,,,1213883
ALB,1948,0.703,,,1232845
ALB,1949,1.015,,,1246636
ALB,1950,0.297,,,1263000
ALB,1951,0.403,,,1287000
ALB,1952,0.374,,,1316000
ALB,1953,0.414,,,1348000
ALB,1954,0.502,,,1383000
ALB,1955,0.663,,,1420000
ALB,1956,0.839,,,1459000
ALB,1957,1.506,,,1500000
ALB,1958,1.202,,,1543000
ALB,1959,1.444,,,1589000
ALB,1960,2.023,,,1636000
ALB,1961,2.279,,,1686000
ALB,1962,2.462,,,1738000
ALB,1963,2.081,,,1791000
ALB,1964,2.015,,,1844000
ALB,1965,2.173,,,1896000
ALB,1966,2.55,,,1948000
ALB,1967,2.678,,,1999000
ALB,1968,3.07,,,2049000
ALB,1969,3.243,,,2100000
ALB,1970,3.741,,,2151000
ALB,1971,4.349,,,2202000
ALB,1972,5.639,,,2254000
ALB,1973,5.287,,,2306000
ALB,1974,4.342,,,2359000
ALB,1975,4.591,,,2412000
ALB,1976,4.946,,,2465000
ALB,1977,5.716,,,2519000
ALB,1978,6.489,,,2573000
ALB,1979,7.581,,,2628000
ALB,1980,5.166,,,2683000
ALB,1981,7.335,,,2737000
ALB,1982,7.302,,,2790000
ALB,1983,7.625,,,2845000
ALB,1984,7.819,,,2904000
ALB,1985,7.874,,,2970000
ALB,1986,8.05,,,3044000
ALB,1987,7.438,,,3125000
ALB,1988,7.321,,,3201000
ALB,1989,8.977,,,3258000
ALB,1990,5.511,3.67,1.59,3286000
ALB,1991,4.283,3.62,1.22,3280000
ALB,1992,2.514,3.52,1.14,3246000
ALB,1993,2.334,3.58,1.17,3195000
ALB,1994,1.924,4.15,1.38,3147000
ALB,1995,2.085,4.13,1.34,3113000
ALB,1996,2.015,3.96,1.19,3099000
ALB,1997,1.543,3.77,1.14,3100000
ALB,1998,1.751,3.63,1.18,3111000
ALB,1999,2.982,3.7,1.12,3123000
ALB,2000,3.019,3.79,1.21,3129000
ALB,2001,3.221,3.7,1.15,3130000
ALB,2002,3.748,3.64,1.29,3126000
ALB,2003,4.291,3.68,1.31,3118000
ALB,2004,4.162,3.59,1.27,3105000
ALB,2005,4.25,3.58,1.28,3087000
ALB,2006,3.895,3.53,1.22,3063000
ALB,2007,3.924,3.52,1.28,3034000
ALB,2008,4.371,3.23,1.14,3003000
ALB,2009,4.375,3.12,1.14,2973000
ALB,2010,4.595,3.12,1.13,2948000
ALB,2011,5.236,3.15,1.18,2929000
ALB,2012,4.921,3.23,1.22,2914000
ALB,2013,4.91,3.19,1.16,2904000
ALB,2014,5.485,3.23,1.18,2896000
ALB,2015,4.613,3.26,1.22,2891000
ALB,2016,4.532,3.25,1.26,2886000
ALB,2017,4.651,,,2884000
ALB,2018,4.57,,,2883000
DZA,1900,0,,,4946166
DZA,1901,0,,,4990304
DZA,1902,0,,,5034196
DZA,1903,0,,,5079119
DZA,1904,0,,,5124443
DZA,1905,0,,,5170172
DZA,1916,0.004,,,5765808
DZA,1917,0.007,,,5839635
DZA,1918,0.018,,,5913223
DZA,1919,0.018,,,5988038
DZA,1920,0.022,,,6063800
DZA,1921,0.026,,,6140520
DZA,1922,0.026,,,6218211
DZA,1923,0.015,,,6296885
DZA,1924,0.029,,,6376554
DZA,1925,0.033,,,6457232
DZA,1926,0.04,,,6538930
DZA,1927,0.059,,,6621661
DZA,1928,0.073,,,6705440
DZA,1929,0.081,,,6790278
DZA,1930,0.084,,,6876190
DZA,1931,0.099,,,6963188
DZA,1932,0.114,,,7051288
DZA,1933,0.121,,,7140502
DZA,1934,0.139,,,7230845
DZA,1935,0.132,,,7322331
DZA,1936,0.051,,,7414974
DZA,1937,0.07,,,7508790
DZA,1938,0.033,,,7603792
DZA,1939,0.161,,,7699997
DZA,1940,0.238,,,7797418
DZA,1941,0.311,,,7896073
DZA,1942,0.498,,,7995975
DZA,1943,0.469,,,8097142
DZA,1944,0.498,,,8199588
DZA,1945,0.616,,,8303331
DZA,1946,0.762,,,8408386
DZA,1947,0.744,,,8514770
DZA,1948,0.802,,,8622500
DZA,1949,0.909,,,8731594
DZA,1950,3.785,,,8872000
DZA,1951,4.133,,,9023000
DZA,1952,3.891,,,9186000
DZA,1953,4.001,,,9364000
DZA,1954,4.155,,,9560000
DZA,1955,4.609,,,9774000
DZA,1956,4.998,,,10006000
DZA,1957,5.54,,,10254000
DZA,1958,5.218,,,10514000
DZA,1959,5.657,,,10783000
DZA,1960,6.151,,,11058000
DZA,1961,6.056,,,11336000
DZA,1962,5.661,,,11620000
DZA,1963,5.419,,,11913000
DZA,1964,5.643,,,12222000
DZA,1965,6.589,,,12551000
DZA,1966,8.421,,,12903000
DZA,1967,8.432,,,13275000
DZA,1968,9.05,,,13664000
DZA,1969,11.263,,,14062000
DZA,1970,15.059,,,14465000
DZA,1971,18.65,,,14872000
DZA,1972,28.323,,,15286000
DZA,1973,38.277,,,15710000
DZA,1974,31.877,,,16149000
DZA,1975,32.001,,,16608000
DZA,1976,39.131,,,17086000
DZA,1977,41.845,,,17583000
DZA,1978,62.455,,,18102000
DZA,1979,45.546,,,18648000
DZA,1980,66.416,,,19222000
DZA,1981,46.342,,,19824000
DZA,1982,39.173,,,20453000
DZA,1983,52.504,,,21102000
DZA,1984,70.947,,,21764000
DZA,1985,72.609,,,22432000
DZA,1986,76.08,,,23102000
DZA,1987,83.884,,,23774000
DZA,1988,83.708,,,24443000
DZA,1989,79.808,,,25106000
DZA,1990,76.737,22.14,5,25759000
DZA,1991,78.805,22.19,4.77,26400000
DZA,1992,79.882,22.61,4.75,27028000
DZA,1993,81.942,22.91,4.66,27636000
DZA,1994,86.147,22.97,4.28,28214000
DZA,1995,94.982,25.74,4.21,28758000
DZA,1996,96.786,28.51,4.31,29266000
DZA,1997,87.004,31.24,4.18,29743000
DZA,1998,106.621,34.23,4.75,30193000
DZA,1999,91.668,37.2,4.68,30623000
DZA,2000,87.443,40.16,7.56,31042000
DZA,2001,83.781,41.65,7.57,31452000
DZA,2002,89.407,43.18,7.39,31855000
DZA,2003,91.048,45.03,7.64,32264000
DZA,2004,87.853,46.93,8.31,32692000
DZA,2005,106.473,48.69,7.72,33150000
DZA,2006,100.201,48.58,8.06,33641000
DZA,2007,108.4,48.53,8.11,34167000
DZA,2008,109.032,48.18,7.77,34731000
DZA,2009,120.186,48.19,8.3,35334000
DZA,2010,117.814,48.23,8.53,35977000
DZA,2011,119.807,48.49,9.18,36661000
DZA,2012,128.11,48.98,10.23,37384000
DZA,2013,132.435,48.89,10.59,38140000
DZA,2014,143.188,49.29,11.35,38924000
DZA,2015,150.704,49.32,11.88,39728000
DZA,2016,147.579,49.44,11.91,40551000
DZA,2017,147.223,,,41389000
DZA,2018,155.725,,,42228000
AND,1959,,,,12000
AND,1960,,,,13000
AND,1961,,,,14000
AND,1962,,,,15000
AND,1963,,,,16000
AND,1964,,,,17000
AND,1965,,,,19000
AND,1966,,,,20000
AND,1967,,,,21000
AND,1968,,,,22000
AND,1969,,,,23000
AND,1970,,,,24000
AND,1971,,,,26000
AND,1972,,,,27000
AND,1973,,,,28000
AND,1974,,,,30000
AND,1975,,,,31000
AND,1976,,,,32000
AND,1977,,,,33000
AND,1978,,,,34000
AND,1979,,,,35000
AND,1980,,,,36000
AND,1981,,,,37000
AND,1982,,,,39000
AND,1983,,,,41000
AND,1984,,,,43000
AND,1985,,,,45000
AND,1986,,,,47000
AND,1987,,,,48000
AND,1988,,,,50000
AND,1989,,,,52000
AND,1990,0.407,0.02,0,55000
AND,1991,0.407,0.02,0,57000
AND,1992,0.407,0.02,0,59000
AND,1993,0.41,0.03,0,61000
AND,1994,0.407,0.03,0,63000
AND,1995,0.425,0.03,0,64000
AND,1996,0.454,0.03,0,64000
AND,1997,0.465,0.03,0,64000
AND,1998,0.491,0.03,0,64000
AND,1999,0.513,0.03,0,64000
AND,2000,0.524,0.03,0,65000
AND,2001,0.524,0.03,0,67000
AND,2002,0.531,0.04,0,70000
AND,2003,0.535,0.04,0,73000
AND,2004,0.561,0.04,0,76000
AND,2005,0.575,0.04,0,79000
AND,2006,0.546,0.04,0,81000
AND,2007,0.539,0.05,0,83000
AND,2008,0.539,0.05,0,84000
AND,2009,0.517,0.05,0,84000
AND,2010,0.517,0.05,0,84000
AND,2011,0.491,0.05,0,84000
AND,2012,0.487,0.05,0,82000
AND,2013,0.476,0.05,0,81000
AND,2014,0.462,0.05,0,79000
AND,2015,0.465,0.05,0,78000
AND,2016,0.469,0.05,0,77000
AND,2017,0.482,,,77000
AND,2018,0.471,,,77000
AGO,1950,0.187,,,4548000
AGO,1951,0.249,,,4617000
AGO,1952,0.311,,,4713000
AGO,1953,0.275,,,4823000
AGO,1954,0.348,,,4936000
AGO,1955,0.414,,,5043000
AGO,1956,0.502,,,5141000
AGO,1957,0.619,,,5228000
AGO,1958,0.594,,,5307000
AGO,1959,0.619,,,5381000
AGO,1960,0.549,,,5455000
AGO,1961,0.454,,,5531000
AGO,1962,1.179,,,5608000
AGO,1963,1.15,,,5679000
AGO,1964,1.223,,,5735000
AGO,1965,1.186,,,5771000
AGO,1966,1.552,,,5781000
AGO,1967,0.992,,,5774000
AGO,1968,1.67,,,5772000
AGO,1969,2.783,,,5804000
AGO,1970,3.578,,,5890000
AGO,1971,3.405,,,6041000
AGO,1972,4.501,,,6249000
AGO,1973,4.874,,,6497000
AGO,1974,4.866,,,6762000
AGO,1975,4.409,,,7024000
AGO,1976,3.28,,,7280000
AGO,1977,3.528,,,7534000
AGO,1978,5.4,,,7791000
AGO,1979,5.489,,,8058000
AGO,1980,5.334,,,8341000
AGO,1981,5.267,,,8640000
AGO,1982,4.635,,,8953000
AGO,1983,5.101,,,9278000
AGO,1984,4.986,,,9615000
AGO,1985,4.676,,,9962000
AGO,1986,4.634,,,10320000
AGO,1987,5.786,,,10689000
AGO,1988,5.049,,,11068000
AGO,1989,4.923,,,11455000
AGO,1990,5.089,39.07,18.43,11848000
AGO,1991,5.063,39.5,18.47,12249000
AGO,1992,5.165,39.94,18.52,12657000
AGO,1993,5.748,40.24,18.46,13075000
AGO,1994,3.866,40.64,18.42,13504000
AGO,1995,10.948,40.92,18.41,13945000
AGO,1996,10.425,48.08,19.64,14401000
AGO,1997,7.348,46,18.84,14872000
AGO,1998,7.27,52.89,21.76,15360000
AGO,1999,9.13,49.69,20.13,15867000
AGO,2000,9.515,47.49,19.3,16395000
AGO,2001,9.672,41.35,18.45,16946000
AGO,2002,12.598,44.8,19.06,17519000
AGO,2003,8.988,49.02,21.28,18121000
AGO,2004,18.702,52.62,21.71,18758000
AGO,2005,19.006,53.41,21.72,19434000
AGO,2006,22.102,46.73,19.08,20150000
AGO,2007,24.976,55.16,21.55,20905000
AGO,2008,25.486,49.94,19.66,21696000
AGO,2009,27.566,52.37,19.96,22514000
AGO,2010,28.864,54.53,20.74,23356000
AGO,2011,30.33,62.53,22.28,24221000
AGO,2012,33.801,54.14,20.63,25108000
AGO,2013,33.229,57.54,21.62,26016000
AGO,2014,44.249,52.46,20.43,26942000
AGO,2015,33.979,57.96,21.94,27884000
AGO,2016,34.111,51.61,21,28842000
AGO,2017,34.112,,,29817000
AGO,2018,34.537,,,30810000
AIA,1959,,,,6000
AIA,1960,,,,6000
AIA,1961,,,,6000
AIA,1962,,,,6000
AIA,1963,,,,6000
AIA,1964,,,,6000
AIA,1965,,,,6000
AIA,1966,,,,6000
AIA,1967,,,,7000
AIA,1968,,,,7000
AIA,1969,,,,7000
AIA,1970,,,,7000
AIA,1971,,,,7000
AIA,1972,,,,7000
AIA,1973,,,,7000
AIA,1974,,,,7000
AIA,1975,,,,7000
AIA,1976,,,,7000
AIA,1977,,,,7000
AIA,1978,,,,7000
AIA,1979,,,,7000
AIA,1980,,,,7000
AIA,1981,,,,7000
AIA,1982,,,,7000
AIA,1983,,,,7000
AIA,1984,,,,7000
AIA,1985,,,,7000
AIA,1986,,,,8000
AIA,1987,,,,8000
AIA,1988,,,,8000
AIA,1989,,,,9000
AIA,1990,0.051,,,9000
AIA,1991,0.051,,,9000
AIA,1992,0.055,,,9000
AIA,1993,0.066,,,9000
AIA,1994,0.066,,,10000
AIA,1995,0.066,,,10000
AIA,1996,0.07,,,10000
AIA,1997,0.07,,,10000
AIA,1998,0.077,,,11000
AIA,1999,0.081,,,11000
AIA,2000,0.088,,,11000
AIA,2001,0.095,,,12000
AIA,2002,0.095,,,12000
AIA,2003,0.103,,,12000
AIA,2004,0.121,,,12000
AIA,2005,0.128,,,12000
AIA,2006,0.143,,,13000
AIA,2007,0.15,,,13000
AIA,2008,0.15,,,13000
AIA,2009,0.147,,,13000
AIA,2010,0.15,,,13000
AIA,2011,0.143,,,14000
AIA,2012,0.143,,,14000
AIA,2013,0.117,,,14000
AIA,2014,0.139,,,14000
AIA,2015,0.154,,,14000
AIA,2016,0.154,,,14000
AIA,2017,0.155,,,15000
AIA,2018,0.156,,,15000
,1987,0.004,,,
,1988,0.007,,,
,1989,0.007,,,
,1990,0.011,,,
,1991,0.015,,,
,1992,0.015,,,
,1993,0.015,,,
,1994,0.015,,,
,1995,0.004,,,
,1996,0.004,,,
,1997,0.004,,,
,1998,0.004,,,
,1999,0.004,,,
,2000,0.004,,,
,2001,0.004,,,
,2002,0.004,,,
,2003,0.004,,,
,2004,0.007,,,
,2005,0.007,,,
,2006,0.007,,,
,2007,0.011,,,
ATG,1957,0.022,,,51000
ATG,1958,0.029,,,52000
ATG,1959,0.029,,,53000
ATG,1960,0.037,,,54000
ATG,1961,0.048,,,55000
ATG,1962,0.103,,,56000
ATG,1963,0.084,,,57000
ATG,1964,0.092,,,58000
ATG,1965,0.15,,,59000
ATG,1966,0.348,,,60000
ATG,1967,0.564,,,61000
ATG,1968,0.989,,,63000
ATG,1969,1.257,,,64000
ATG,1970,0.462,,,64000
ATG,1971,0.425,,,64000
ATG,1972,0.374,,,64000
ATG,1973,0.33,,,64000
ATG,1974,0.429,,,63000
ATG,1975,0.707,,,63000
ATG,1976,0.403,,,62000
ATG,1977,0.465,,,62000
ATG,1978,0.491,,,62000
ATG,1979,0.407,,,62000
ATG,1980,0.143,,,62000
ATG,1981,0.106,,,62000
ATG,1982,0.293,,,62000
ATG,1983,0.084,,,62000
ATG,1984,0.147,,,62000
ATG,1985,0.249,,,62000
ATG,1986,0.249,,,62000
ATG,1987,0.275,,,62000
ATG,1988,0.286,,,62000
ATG,1989,0.286,,,62000
ATG,1990,0.282,0.13,0.02,63000
ATG,1991,0.267,0.13,0.02,63000
ATG,1992,0.264,0.14,0.02,64000
ATG,1993,0.271,0.14,0.02,66000
ATG,1994,0.267,0.15,0.02,67000
ATG,1995,0.275,0.15,0.02,69000
ATG,1996,0.293,0.16,0.02,70000
ATG,1997,0.308,0.16,0.02,72000
ATG,1998,0.319,0.17,0.02,73000
ATG,1999,0.33,0.17,0.02,75000
ATG,2000,0.344,0.18,0.02,76000
ATG,2001,0.348,0.18,0.02,77000
ATG,2002,0.37,0.18,0.02,78000
ATG,2003,0.403,0.19,0.02,79000
ATG,2004,0.421,0.19,0.02,80000
ATG,2005,0.429,0.19,0.03,81000
ATG,2006,0.443,0.2,0.03,83000
ATG,2007,0.469,0.2,0.03,84000
ATG,2008,0.48,0.2,0.03,85000
ATG,2009,0.509,0.2,0.03,87000
ATG,2010,0.524,0.19,0.02,88000
ATG,2011,0.513,0.19,0.02,89000
ATG,2012,0.524,0.19,0.02,90000
ATG,2013,0.524,0.19,0.02,92000
ATG,2014,0.528,0.2,0.02,93000
ATG,2015,0.546,0.2,0.02,94000
ATG,2016,0.557,0.2,0.02,95000
ATG,2017,0.562,,,95000
ATG,2018,0.566,,,96000
ARG,1887,1.085,,,3089624
ARG,1888,0.89,,,3190089
ARG,1889,1.755,,,3294260
ARG,1890,1.37,,,3402273
ARG,1891,0.938,,,3514267
ARG,1892,1.385,,,3630387
ARG,1893,1.554,,,3750784
ARG,1894,1.993,,,3875613
ARG,1895,2.264,,,4005036
ARG,1896,2.305,,,4141299
ARG,1897,2.081,,,4284294
ARG,1898,2.349,,,4434314
ARG,1899,2.92,,,4591641
ARG,1900,2.07,,,4756635
ARG,1901,2.492,,,4929644
ARG,1902,2.814,,,5094954
ARG,1903,2.862,,,5285563
ARG,1904,3.796,,,5485838
ARG,1905,3.983,,,5696234
ARG,1906,6.254,,,5914645
ARG,1907,6.254,,,6121229
ARG,1908,7.617,,,6355959
ARG,1909,5.936,,,6599705
ARG,1910,8.907,,,6852669
ARG,1911,9.944,,,7108577
ARG,1912,9.479,,,7381312
ARG,1913,10.146,,,7644045
ARG,1914,8.673,,,7878423
ARG,1915,6.94,,,8069762
ARG,1916,4.987,,,8233077
ARG,1917,2.231,,,8382047
ARG,1918,2.521,,,8530833
ARG,1919,3.726,,,8693347
ARG,1920,5.892,,,8884894
ARG,1921,5.54,,,9117153
ARG,1922,7.299,,,9399467
ARG,1923,8.446,,,9720491
ARG,1924,10.959,,,10050859
ARG,1925,11.237,,,10366210
ARG,1926,11.259,,,10670216
ARG,1927,13.374,,,10978559
ARG,1928,12.74,,,11292242
ARG,1929,13.132,,,11602921
ARG,1930,12.769,,,11898250
ARG,1931,12.846,,,12168551
ARG,1932,13.102,,,12411154
ARG,1933,13.234,,,12633735
ARG,1934,14.242,,,12847974
ARG,1935,14,,,13060544
ARG,1936,15.099,,,13279454
ARG,1937,16.715,,,13506374
ARG,1938,16.352,,,13747976
ARG,1939,17.382,,,13974562
ARG,1940,15.869,,,14200814
ARG,1941,13.945,,,14419057
ARG,1942,13.484,,,14655320
ARG,1943,14.081,,,14898257
ARG,1944,13.956,,,15149203
ARG,1945,13.67,,,15408492
ARG,1946,13.707,,,15679460
ARG,1947,14.52,,,15985468
ARG,1948,17.397,,,16346870
ARG,1949,15.37,,,16750098
ARG,1950,29.928,,,17038000
ARG,1951,34.969,,,17390000
ARG,1952,36.101,,,17743000
ARG,1953,35.141,,,18094000
ARG,1954,36.757,,,18443000
ARG,1955,39.568,,,18789000
ARG,1956,44.305,,,19132000
ARG,1957,47.617,,,19472000
ARG,1958,44.202,,,19810000
ARG,1959,48.949,,,20146000
ARG,1960,48.764,,,20482000
ARG,1961,51.127,,,20817000
ARG,1962,53.64,,,21153000
ARG,1963,50.033,,,21489000
ARG,1964,55.67,,,21824000
ARG,1965,58.805,,,22160000
ARG,1966,63.073,,,22494000
ARG,1967,65.476,,,22829000
ARG,1968,69.009,,,23168000
ARG,1969,77.249,,,23518000
ARG,1970,82.648,,,23881000
ARG,1971,88.844,,,24260000
ARG,1972,90.061,,,24653000
ARG,1973,93.968,,,25056000
ARG,1974,95.469,,,25462000
ARG,1975,94.832,,,25866000
ARG,1976,99.666,,,26265000
